belief_speaking,definition,example
basically,in essence; at bottom or by one's (or its) very nature,He is basically dishonest
believe,accept as true; take to be true,I believed his report
confide,reveal in private; tell confidentially,The messenger was entrusted with the general's secret
consider,deem to be,She views this quite differently from me
envisage,form a mental image of something that is not present or that is not the case,Can you conceive of him as the president?
feel,an intuitive awareness,he has a feel for animals
frankly,(used as intensives reflecting the speaker's attitude) it is sincerely the case that,"honestly, I don't believe it"
guess,a message expressing an opinion based on incomplete evidence,he didn't think to find her in the kitchen
obvious,easily perceived and understood,obvious errors
obviously,unmistakably (`plain' is often used informally for `plainly'),the answer is obviously wrong
of course,as might be expected,"naturally, the lawyer sent us a huge bill"
opinion,a personal belief or judgment that is not founded on proof or certainty,my opinion differs from yours
plainly,unmistakably (`plain' is often used informally for `plainly'),the answer is obviously wrong
position,the particular portion of space occupied by something,he put the lamp back in its place
presume,take to be the case or to be true; accept without verification or proof,I assume his train was late
probably,with considerable certainty; without much doubt,He is probably out of the country
seem,give a certain impression of being something or having a certain aspect,She seems to be sleeping
sensation,an unelaborated elementary awareness of stimulation,a sensation of touch
sentiment,"tender, romantic, or nostalgic feeling or emotion",I am not of your persuasion
suggestion,an idea that is suggested,the picnic was her suggestion
suppose,express a supposition,Let us say that he did not tell the truth
surely,definitely or positively (`sure' is sometimes used informally for `surely'),the results are surely encouraging
think,judge or regard; look upon; judge,I think he is very smart
trust,something (as property) held by one party (the trustee) for the benefit of another (the beneficiary),he is the beneficiary of a generous trust set up by his father
view,a way of regarding situations or topics etc.,consider what follows from the positivist view
claim,an assertion of a right (as to money or property),his claim asked for damages
contemplate,look at thoughtfully; observe deep in thought,contemplate one's navel
contention,a point asserted as part of an argument,they were involved in a violent argument
genuinely,in accordance with truth or fact or reality,she was now truly American
hint,an indirect suggestion,not a breath of scandal ever touched her
judge,a public official authorized to decide questions brought before a court of justice,How do you evaluate this grant proposal?
look,the feelings expressed on a person's face,a sad expression
ponder,reflect deeply on a subject,I mulled over the events of the afternoon
signal,any nonverbal action or gesture that encodes a message,signals from the boat suddenly stopped
suggest,"make a proposal, declare a plan for something",the senator proposed to abolish the sales tax
try,earnest and conscientious activity intended to do or accomplish something,made an effort to cover all the reading material
virtually,in essence or effect but not in fact,the strike virtually paralyzed the city
