fact_speaking,definition,example
actually,in actual fact,to be nominally but not actually independent
analyze,consider in detail and subject to an analysis in order to discover essential features or meaning,analyze a sonnet by Shakespeare
assess,"evaluate or estimate the nature, quality, ability, extent, or significance of",I will have the family jewels appraised by a professional
correct,free from error; especially conforming to fact or truth,the correct answer
correction,the act of offering an improvement to replace a mistake; setting right,market runups are invariably followed by a correction
determine,"establish after a calculation, investigation, experiment, survey, or study",find the product of two numbers
evaluate,"evaluate or estimate the nature, quality, ability, extent, or significance of",I will have the family jewels appraised by a professional
evidence,your basis for belief or disbelief; knowledge on which to base belief,the evidence that smoking causes lung cancer is very compelling
examine,consider in detail and subject to an analysis in order to discover essential features or meaning,analyze a sonnet by Shakespeare
exploration,to travel for the purpose of discovery,he called for a careful exploration of the consequences
fact,a piece of information about circumstances that exist or events that have occurred,first you must collect all the facts of the case
information,a message received and understood,statistical data
inspect,look over carefully,Please inspect your father's will carefully
investigate,investigate scientifically,Let's investigate the syntax of Chinese
proof,(used in combination or as a suffix) able to withstand,temptation-proof
prove,be shown or be found to be,She proved to be right
question,an instance of questioning,there was a question about my training
quiz,an examination consisting of a few short questions,We got quizzed on French irregular verbs
real,being or occurring in fact or actuality; having verified existence; not illusory,real objects
reality,all of your experiences that determine how things appear to you,his world was shattered
rectify,determine the length of,rectify a curve
research,systematic investigation to establish facts,He searched for information on his relatives on the web
revise,the act of rewriting something,We must retool the town's economy
sample,a small part of something intended as representative of the whole,Sample the regional dishes
science,a particular branch of scientific knowledge,the science of genetics
scrutinize,"to look at critically or searchingly, or in minute detail",he scrutinized his likeness in the mirror
search,the activity of looking thoroughly in order to find something or someone,Scientists are exploring the nature of consciousness
specify,specify as a condition or requirement in a contract or agreement; make an express demand or provision in an agreement,The will stipulates that she can live in the house for the rest of her life
supervise,watch and direct,Who is overseeing this project?
test,trying something to find out about it,a sample for ten days free trial
trace,a just detectable amount,he speaks French with a trace of an accent
track,a line or route along which something travels or moves,the hurricane demolished houses in its path
trial,the act of testing something,in the experimental trials the amount of carbon was measured separately
truth,a fact that has been verified,at last he knew the truth
validate,declare or make legally valid,validate a ticket
verify,confirm the truth of,Please verify that the doors are closed
observe,"discover or determine the existence, presence, or fact of by perception with the eyes",She detected high levels of lead in her drinking water
